winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Tyrrell's,Sémillon 2018,Australia,Hunter Valley,3.6,216,https://www.vivino.com/tyrrells-wines-semillon/w/1676075?year=2018&price_id=19259347
RoseRock,Chardonnay 2015,United States,Eola-Amity Hills,3.6,215,https://www.vivino.com/rose-rock-chardonnay/w/4298551?year=2015&price_id=19281861
Penfolds,Max's Chardonnay 2017,Australia,Adelaide Hills,3.6,210,https://www.vivino.com/penfolds-max-s-chardonnay-adelaide-hills/w/4851828?year=2017&price_id=19498123
Ruffino,Libaio Chardonnay 2018,Italy,Toscana,3.6,206,https://www.vivino.com/ruffino-libaio-chardonnay/w/2193?year=2018&price_id=21661139
Michele Chiarlo,Le Madri Arneis Roero 2018,Italy,Roero,3.6,182,https://www.vivino.com/michele-chiarlo-le-madri-arneis-roero/w/1204941?year=2018&price_id=21265150
Les Héritiers du Comte Lafon,Mâcon-Villages 2016,France,Mâcon-Villages,3.6,161,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-macon-villages/w/1101279?year=2016&price_id=17838186
First Creek,Chardonnay 2016,Australia,Hunter Valley,3.6,27,https://www.vivino.com/first-creek-chardonnay-hunter-valley/w/1185719?year=2016&price_id=19037153
Markus Huber,Terrassen Riesling 2017,Austria,Traisental,3.6,117,https://www.vivino.com/weingut-markus-huber-terrassen-riesling/w/1503778?year=2017&price_id=15126152
Clos Henri Vineyard,Petit Clos Sauvignon Blanc 2018,New Zealand,Marlborough,3.6,115,https://www.vivino.com/clos-henri-petit-clos-sauvignon-blanc/w/1126941?year=2018&price_id=21387202
De Bortoli,La Bohème Act Three Pinot Gris and Friends 2018,Australia,Yarra Valley,3.6,109,https://www.vivino.com/de-bortoli-la-boheme-act-three-pinot-gris-and-friends/w/3285813?year=2018&price_id=20249668
Joseph Drouhin,Drouhin - Vaudon Chablis 2018,France,Chablis,3.6,93,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis/w/24073?year=2018&price_id=20420460
Radford Dale,Chardonnay 2017,South Africa,Stellenbosch,3.6,86,https://www.vivino.com/za-radford-dale-chardonnay/w/1152253?year=2017&price_id=19256784
Cembra,Vigna delle Forche Müller Thurgau 2013,Italy,Trentino,3.6,84,https://www.vivino.com/cembra-vigna-delle-forche-muller-thurgau/w/2457528?year=2013&price_id=18102188
Falesco,Tellus Chardonnay 2015,Italy,Umbria,3.6,71,https://www.vivino.com/falesco-tellus-chardonnay/w/4172821?year=2015&price_id=19242566
Louis Max,Mercurey Les Rochelles 2014,France,Mercurey,3.6,63,https://www.vivino.com/domaine-louis-max-mercurey-les-rochelles/w/79628?year=2014&price_id=8179613
Louis Max,Chardonnay Bourgogne Beaucharme 2016,France,Bourgogne,3.6,59,https://www.vivino.com/domaine-louis-max-chardonnay-bourgogne-beaucharme/w/1241432?year=2016&price_id=21191520
Radford Dale,The Renaissance of Chenin Blanc 2017,South Africa,Stellenbosch,3.6,57,https://www.vivino.com/za-radford-dale-the-renaissance-of-chenin-blanc/w/1558374?year=2017&price_id=18199095
Moss Wood,Sémillon 2018,Australia,Margaret River,3.6,37,https://www.vivino.com/moss-wood-semillon/w/1654720?year=2018&price_id=21071658
Pedroncelli,East Side Vineyards Sauvignon Blanc 2017,United States,Dry Creek Valley,3.6,36,https://www.vivino.com/pedroncelli-winery-and-vineyards-east-side-vineyards-sauvignon-blanc/w/85520?year=2017&price_id=18857554
Pighin,Pinot Grigio Collio 2017,Italy,Collio,3.6,31,https://www.vivino.com/fernando-pighin-pinot-grigio-collio/w/22566?year=2017&price_id=18104649
Alain Voge,Terres Boisées Saint-Péray 2012,France,Saint-Péray,3.6,31,https://www.vivino.com/alain-voge-terres-boisees-saint-peray/w/80167?year=2012&price_id=20907319
Moobuzz,Chardonnay 2016,United States,Monterey,3.6,29,https://www.vivino.com/moobuzz-chardonnay/w/4857?year=2016&price_id=19345483
Handpicked,Regional Selections Chardonnay 2017,Australia,Yarra Valley,3.6,29,https://www.vivino.com/handpicked-regional-selections-chardonnay-yarra-valley/w/2227666?year=2017&price_id=21238550
St Hallett,Riesling 2019,Australia,Eden Valley,3.6,28,https://www.vivino.com/st-hallett-riesling/w/1938618?year=2019&price_id=21637391
McManis,Chardonnay 2018,United States,River Junction,3.6,160,https://www.vivino.com/mcmanis-family-vineyards-chardonnay/w/2226?year=2018&price_id=21284868
Gustave Lorentz,Gewürztraminer Alsace Réserve 2018,France,Alsace,3.5,302,https://www.vivino.com/maison-gustave-lorentz-gewurztraminer-alsace-reserve/w/1852779?year=2018&price_id=20703469
Cusumano,Insolia 2018,Italy,Terre Siciliane,3.5,204,https://www.vivino.com/cusumano-insolia/w/71214?year=2018&price_id=20399256
Vasse Felix,Sauvignon Blanc - Sémillon 2017,Australia,Margaret River,3.5,96,https://www.vivino.com/vasse-felix-sauvignon-blanc-semillon/w/1923491?year=2017&price_id=18260963
Kumeu River,Village Chardonnay 2018,New Zealand,Kumeu,3.5,87,https://www.vivino.com/kumeu-river-winery-village-chardonnay/w/1715702?year=2018&price_id=21387204
Garofoli,Serra Del Conte Verdicchio Dei Castelli Di Jesi Classico 2017,Italy,Verdicchio dei Castelli di Jesi,3.5,85,https://www.vivino.com/casa-vinicola-gioacchino-garofoli-spa-serra-del-conte-verdicchio-dei-castelli-di-jesi-classico/w/1478583?year=2017&price_id=18104647
Carpineto,Toscana Dogajolo Bianco 2018,Italy,Toscana,3.5,84,https://www.vivino.com/carpineto-toscana-dogajolo-bianco/w/1119837?year=2018&price_id=21278096
Gayda,Chardonnay 2017,France,Pays d'Oc,3.5,52,https://www.vivino.com/domaine-gayda-chardonnay/w/1123292?year=2017&price_id=17867455
Xanadu,Exmoor Chardonnay 2018,Australia,Margaret River,3.5,41,https://www.vivino.com/xanadu-wines-exmoor-chardonnay/w/2462391?year=2018&price_id=21661162
Xanadu,DJL Chardonnay 2017,Australia,Margaret River,3.5,29,https://www.vivino.com/xanadu-wines-djl-chardonnay/w/1510093?year=2017&price_id=21661160
Yalumba,Roussanne (Samuel's Garden Collection) 2014,Australia,Eden Valley,3.4,44,https://www.vivino.com/yalumba-roussanne-samuel-s-garden-collection/w/1938772?year=2014&price_id=12955982
Falesco,Le Pòggere Est! Est!! Est!!! di Montefiascone Bianco 2017,Italy,Est! Est!! Est!!! di Montefiascone,3.4,308,https://www.vivino.com/falesco-le-poggere-est-est-est-di-montefiascone-bianco/w/4313703?year=2017&price_id=21388812
Tyrrell's,Chardonnay 2017,Australia,Hunter Valley,3.4,77,https://www.vivino.com/tyrrells-wines-chardonnay/w/13520?year=2017&price_id=20217156
Piccini,Memoro Bianco N.V.,Italy,Toscana,3.4,2468,https://www.vivino.com/piccini-memoro-bianco-toscana/w/1636536?year=N.V.&price_id=8203848
Markus Huber,Engelsberg Riesling 2018,Austria,Traisental,3.4,29,https://www.vivino.com/weingut-markus-huber-engelsberg-riesling/w/2036133?year=2018&price_id=21059633
Jacob's Creek,Reeves Point Chardonnay 2013,Australia,Barossa Valley,3.4,28,https://www.vivino.com/jacob-s-creek-reeves-point-chardonnay/w/2726?year=2013&price_id=18309001
Louis Max,Rully Les Plantenays 2014,France,Rully,3.4,26,https://www.vivino.com/domaine-louis-max-rully-les-plantenays/w/2926133?year=2014&price_id=8191519
Tedeschi,Capitel Tenda Soave Classico 2017,Italy,Soave Classico,3.3,73,https://www.vivino.com/agricola-flli-tedeschi-srl-capitel-tenda-soave-classico/w/1548493?year=2017&price_id=20492599
Chateau Ste. Michelle,Cold Creek Vineyard Chardonnay 2013,United States,Columbia Valley,3.3,73,https://www.vivino.com/chateau-ste-michelle-cold-creek-vineyard-chardonnay/w/1438?year=2013&price_id=13249838
Wirra Wirra,Scrubby Rise Sauvignon Blanc - Semillon 2017,Australia,Adelaide Hills,3.3,36,https://www.vivino.com/wirra-wirra-vineyards-scrubby-rise-sauvignon-blanc-semillon-adelaide-hills/w/5951580?year=2017&price_id=18250929
Riglos,Quinto Sauvignon Blanc 2015,Argentina,Tupungato,3.3,51,https://www.vivino.com/bodega-riglos-quinto-sauvignon-blanc/w/1375343?year=2015&price_id=10708305
Kapuka,Sauvignon Blanc 2017,New Zealand,Marlborough,3.2,98,https://www.vivino.com/kapuka-sauvignon-blanc/w/1207470?year=2017&price_id=21119214
Giotto Bini - Serragghia,Zibibbo Secco Bianco 2018,Italy,Sicilia,4.6,90,https://www.vivino.com/giotto-bini-serragghia-zibibbo-secco-bianco/w/1427149?year=2018&price_id=21516563
Von Winning,Pechstein GG 2017,Germany,Pfalz,4.6,43,https://www.vivino.com/de-von-winning-pechstein-gg/w/1834194?year=2017&price_id=18926602
Belondrade,Belondrade y Lurton 2017,Spain,Rueda,4.5,1020,https://www.vivino.com/belondrade-belondrade-y-lurton/w/76476?year=2017&price_id=18405841
Antinori,Castello della Sala Cervaro della Sala 2018,Italy,Umbria,4.5,200,https://www.vivino.com/antinori-tuscany-castello-della-sala-cervaro-della-sala/w/1688?year=2018&price_id=21219196
Jean-Paul & Benoit Droin,Chablis Grand Cru 'Les Clos' 2016,France,Chablis Grand Cru 'Les Clos',4.5,185,https://www.vivino.com/jean-paul-benoit-droin-chablis-grand-cru-les-clos/w/55464?year=2016&price_id=18495340
Château Fuissé,Pouilly-Fuissé Le Clos Monopole 2017,France,Pouilly-Fuissé,4.5,134,https://www.vivino.com/chateau-fuisse-pouilly-fuisse-le-clos-monopole/w/82501?year=2017&price_id=18494881
Wolfberger,Gewürztraminer Alsace Vendanges Tardives 2014,France,Alsace,4.5,101,https://www.vivino.com/wolfberger-gewurztraminer-alsace-vendanges-tardives/w/1145268?year=2014&price_id=19567527
Christian Moreau Pere & Fils,Chablis Grand Cru 'Les Clos' 2017,France,Chablis Grand Cru 'Les Clos',4.5,89,https://www.vivino.com/domaine-christian-moreau-pere-and-fils-chablis-grand-cru-les-clos/w/86746?year=2017&price_id=21613255
Domaine Weinbach,Clos des Capucins Cuvée Sainte Catherine Riesling Alsace Grand Cru Schlossberg 2008,France,Alsace Grand Cru 'Schlossberg',4.5,82,https://www.vivino.com/domaine-weinbach-clos-des-capucins-cuvee-sainte-catherine-riesling-alsace-grand-cru-schlossberg/w/2125123?year=2008&price_id=799139
J.M. Boillot,Puligny-Montrachet Premier Cru Champ-Canet 2015,France,Puligny-Montrachet Premier Cru,4.5,60,https://www.vivino.com/jm-boillot-puligny-montrachet-premier-cru-champ-canet/w/75378?year=2015&price_id=12811412
Louis Chèze,Pagus Luminis Condrieu 2018,France,Condrieu,4.5,25,https://www.vivino.com/louis-cheze-pagus-luminis-condrieu/w/1427807?year=2018&price_id=20506739
Vincent Girardin,Chassagne-Montrachet 1er Cru 'Morgeot' Blanc 2014,France,Chassagne-Montrachet 1er Cru 'Morgeot',4.5,44,https://www.vivino.com/vincent-girardin-chassagne-montrachet-1er-cru-morgeot-blanc/w/41454?year=2014&price_id=8614379
Domaine Weinbach,Clos des Capucins Cuvée Sainte Catherine Riesling Alsace Grand Cru Schlossberg 2004,France,Alsace Grand Cru 'Schlossberg',4.5,44,https://www.vivino.com/domaine-weinbach-clos-des-capucins-cuvee-sainte-catherine-riesling-alsace-grand-cru-schlossberg/w/2125123?year=2004&price_id=11812882
Domaine Georges Vernay,Les Chaillées de L'Enfer Condrieu 2017,France,Condrieu,4.5,44,https://www.vivino.com/fr-domaine-georges-vernay-les-chaillees-de-l-enfer-condrieu/w/1200673?year=2017&price_id=18267318
Dr. Loosen,Erdener Prälat Riesling Auslese 2010,Germany,Mosel,4.5,40,https://www.vivino.com/dr-loosen-erdener-pralat-riesling-auslese/w/1308014?year=2010&price_id=13498664
Bodega Contador (Benjamín Romeo),Qué Bonito Cacareaba Blanco 2018,Spain,Rioja,4.5,39,https://www.vivino.com/es-contador-que-bonito-cacareaba-blanco/w/1226981?year=2018&price_id=19872992
Marcel Deiss,Alsace Grand Cru Schoenenbourg 2014,France,Alsace Grand Cru,4.5,39,https://www.vivino.com/marcel-deiss-alsace-grand-cru-schoenenbourg/w/1396952?year=2014&price_id=20592375
Domaine Long Depaquit,Chablis Grand Cru 'Moutonne' (Monopole) 2017,France,Chablis Grand Cru 'La Moutonne',4.5,36,https://www.vivino.com/domaine-long-depaquit-chablis-grand-cru-moutonne-monopole/w/1188795?year=2017&price_id=18798358
Morey-Coffinet,Chassagne Montrachet 1er Cru 'Les Caillerets' 2017,France,Chassagne-Montrachet 1er Cru 'Cailleret',4.5,35,https://www.vivino.com/domaine-marc-morey-and-fils-chassagne-montrachet-1er-cru-les-caillerets/w/1236393?year=2017&price_id=19269151
Domaine Marc Morey & Fils,Chassagne-Montrachet 1er Cru 'En Virondot' 2017,France,Chassagne-Montrachet 1er Cru 'En Virondot',4.5,31,https://www.vivino.com/marc-morey-and-fils-chassagne-montrachet-1er-cru-en-virondot/w/1229689?year=2017&price_id=20621709
Delas,Clos Boucher Condrieu 2013,France,Condrieu,4.5,30,https://www.vivino.com/delas-freres-clos-boucher-condrieu/w/14598?year=2013&price_id=5321224
Matassa,Cuvée Marguerite 2019,France,Côtes Catalanes,4.5,29,https://www.vivino.com/matassa-cuvee-marguerite/w/1791913?year=2019&price_id=21516434
Bouchard Père & Fils,Meursault Les Clous 2018,France,Meursault,4.5,29,https://www.vivino.com/bouchard-pere-and-fils-meursault-les-clous/w/73267?year=2018&price_id=20657466
Domaine Weinbach,Clos des Capucins Cuvée Sainte Catherine Riesling Alsace Grand Cru Schlossberg 2018,France,Alsace Grand Cru 'Schlossberg',4.5,27,https://www.vivino.com/domaine-weinbach-clos-des-capucins-cuvee-sainte-catherine-riesling-alsace-grand-cru-schlossberg/w/2125123?year=2018&price_id=21560508
Gravner,Anfora Ribolla Gialla 2010,Italy,Venezia Giulia,4.5,50,https://www.vivino.com/gravner-anfora-ribolla-gialla/w/1209978?year=2010&price_id=19259734
de Ladoucette,Baron de L Pouilly-Fumé 2012,France,Pouilly-Fumé,4.4,648,https://www.vivino.com/de-ladoucette-baron-de-l-pouilly-fume/w/74360?year=2012&price_id=10911740
Querciabella,Toscana Batar 2014,Italy,Toscana,4.4,350,https://www.vivino.com/it-agricola-querciabella-toscana-batar/w/6935?year=2014&price_id=18942891
Livon,Braide Alte 2016,Italy,Venezia Giulia,4.4,276,https://www.vivino.com/livon-braide-alte/w/92869?year=2016&price_id=19810882
Gaja,Rossj-Bass Langhe 2018,Italy,Langhe,4.4,210,https://www.vivino.com/gaja-rossj-bass-langhe/w/66204?year=2018&price_id=18457334
Château de Beaucastel,Châteauneuf-du-Pape Blanc 2016,France,Châteauneuf-du-Pape,4.4,149,https://www.vivino.com/chateau-de-beaucastel-chateauneuf-du-pape-blanc/w/10975?year=2016&price_id=21308686
Belondrade,Belondrade y Lurton 2018,Spain,Rueda,4.4,139,https://www.vivino.com/belondrade-belondrade-y-lurton/w/76476?year=2018&price_id=20495192
Château de Meursault,Meursault Premier Cru Les Charmes Dessus 2016,France,Meursault Premier Cru,4.4,138,https://www.vivino.com/chateau-de-meursault-meursault-premier-cru-les-charmes-dessus/w/3242527?year=2016&price_id=16438405
M. Chapoutier,Chante-Alouette Hermitage Blanc 2017,France,Hermitage,4.4,129,https://www.vivino.com/m-chapoutier-chante-alouette-hermitage-blanc/w/20647?year=2017&price_id=20414322
Valentini,Trebbiano d'Abruzzo 2015,Italy,Trebbiano d'Abruzzo,4.4,116,https://www.vivino.com/valentini-trebbiano-d-abruzzo/w/1105696?year=2015&price_id=19224795
A. Christmann,Idig GG 2015,Germany,Pfalz,4.4,112,https://www.vivino.com/de-christmann-idig-gg/w/1601938?year=2015&price_id=15610849
Marcel Deiss,Mambourg Grand Cru 2012,France,Alsace Grand Cru,4.4,107,https://www.vivino.com/marcel-deiss-mambourg-grand-cru/w/1225805?year=2012&price_id=4676317
By Farr,Chardonnay 2017,Australia,Geelong,4.4,102,https://www.vivino.com/by-farr-chardonnay/w/1123365?year=2017&price_id=17445690
Ökonomierat Rebholz,Kastanienbusch GG 2015,Germany,Pfalz,4.4,100,https://www.vivino.com/okonomierat-rebholz-kastanienbusch-gg/w/1221334?year=2015&price_id=20902252
Louis Latour,Chassagne-Montrachet Premier Cru 2015,France,Chassagne-Montrachet Premier Cru,4.4,91,https://www.vivino.com/louis-latour-chassagne-montrachet-premier-cru/w/1676577?year=2015&price_id=13244353
Marcel Deiss,Riesling Alsace Grand Cru 'Altenberg de Bergheim' 2010,France,Alsace Grand Cru 'Altenberg de Bergheim',4.4,91,https://www.vivino.com/marcel-deiss-riesling-alsace-grand-cru-altenberg-de-bergheim/w/1193651?year=2010&price_id=17868258
Domaine Laroche,Chablis Grand Cru 'Les Clos' 2011,France,Chablis Grand Cru 'Les Clos',4.4,77,https://www.vivino.com/domaine-laroche-chablis-grand-cru-les-clos/w/1221576?year=2011&price_id=20458318
de Ladoucette,Baron de L Pouilly-Fumé 2017,France,Pouilly-Fumé,4.4,61,https://www.vivino.com/de-ladoucette-baron-de-l-pouilly-fume/w/74360?year=2017&price_id=20647487
Josmeyer,Riesling Grand Cru Hengst 2001,France,Alsace Grand Cru 'Hengst',4.4,59,https://www.vivino.com/josmeyer-and-fils-sa-riesling-grand-cru-hengst/w/23156?year=2001&price_id=17823064
Domaines Schlumberger,Cuvée Christine Gewürztraminer Alsace Vendanges Tardives 2015,France,Alsace,4.4,58,https://www.vivino.com/domaines-schlumberger-cuvee-christine-gewurztraminer-alsace-vendanges-tardives/w/12331?year=2015&price_id=18934400
Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Spätlese Kabinett 2015,Germany,Wehlen,4.4,57,https://www.vivino.com/joh-jos-prum-wehlener-sonnenuhr-riesling-spatlese-kabinett/w/2763744?year=2015&price_id=8991571
François Chidaine,Les Lys Montlouis 2009,France,Montlouis-sur-Loire,4.4,50,https://www.vivino.com/francois-chidaine-les-lys-montlouis/w/1198558?year=2009&price_id=8416301
Joaquin,203 Piante a Lapio 2012,Italy,Campania,4.4,46,https://www.vivino.com/joaquin-twohundredthree-piante-a-lapio/w/1589047?year=2012&price_id=12826733
Gourt de Mautens,Vaucluse Blanc 2014,France,Rasteau,4.4,42,https://www.vivino.com/fr-gourt-de-mautens-vaucluse-blanc/w/779297?year=2014&price_id=17320084
Michel Redde,Barre A Mine Blanc Fumé de Pouilly 2017,France,Pouilly-Fumé,4.4,41,https://www.vivino.com/michel-redde-et-fils-barre-a-mine-blanc-fume-de-pouilly/w/4561282?year=2017&price_id=18648683
Stargazer,Chardonnay 2017,Australia,Tasmania,4.4,40,https://www.vivino.com/stargazer-chardonnay/w/3815398?year=2017&price_id=21475121
Joseph Mellot,La Grande Cuvée Des Edvins Pouilly-Fumé 2015,France,Pouilly-Fumé,4.4,40,https://www.vivino.com/joseph-mellot-la-grande-cuvee-des-edvins-pouilly-fume/w/1128058?year=2015&price_id=16161949
Domaine des Marnes Blanches,Savagnin En Jensillard 2016,France,Côtes du Jura,4.4,40,https://www.vivino.com/domaine-des-marnes-blanches-43697-savagnin-en-jensillard/w/1900067?year=2016&price_id=16438287
Manincor,Le Petit 2015,Italy,Südtirol - Alto Adige,4.4,39,https://www.vivino.com/manincor-le-petit/w/2342093?year=2015&price_id=12867634
Kollwentz,Gloria 2017,Austria,Burgenland,4.4,38,https://www.vivino.com/kollwentz-gloria/w/96779?year=2017&price_id=19798550
Joseph Mellot,L'Original 2015,France,Sancerre,4.4,33,https://www.vivino.com/joseph-mellot-l-original/w/2365311?year=2015&price_id=12075544
Terroir Al Límit Soc. Lda,Pedra de Guix 2016,Spain,Priorat,4.4,33,https://www.vivino.com/terroir-al-limit-pedra-de-guix/w/3295816?year=2016&price_id=12946479
Matrot,Les Chalumeaux Puligny-Montrachet 1er Cru 2017,France,Puligny-Montrachet Premier Cru,4.4,32,https://www.vivino.com/matrot-les-chalumeaux-puligny-montrachet-1er-cru/w/1601664?year=2017&price_id=21061821
Peyre Rose,Oro Blanc 2003,France,Languedoc,4.4,30,https://www.vivino.com/fr-peyre-rose-oro-blanc/w/1803396?year=2003&price_id=15621152
La Chablisienne,Chablis Grand Cru 'Bougros' 2014,France,Chablis Grand Cru 'Bougros',4.4,28,https://www.vivino.com/la-chablisienne-chablis-grand-cru-bougros/w/1407854?year=2014&price_id=20868908
Pazo Señorans,Seleccion de Añada Albariño Rías Baixas 2011,Spain,Rías Baixas,4.4,28,https://www.vivino.com/pazo-senorans-seleccion-de-anada-albarino-rias-baixas/w/50644?year=2011&price_id=20743295
Albert Bichot,Château Gris Les Terrasses Monopole Nuits-Saint-Georges 2016,France,Nuits-Saint-Georges,4.4,27,https://www.vivino.com/albert-bichot-chateau-gris-les-terrasses-monopole-nuits-saint-georges/w/1998831?year=2016&price_id=17731171
Domaine Marc Morey & Fils,Puligny-Montrachet 1er Cru 'Les Referts' 2017,France,Puligny-Montrachet 1er Cru 'Les Referts',4.4,27,https://www.vivino.com/marc-morey-and-fils-referts-puligny-montrachet-1er-cru/w/1189309?year=2017&price_id=20337102
